08:00:25.726  异常信息：由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。 192.168.1.188:80
08:22:37.631 @PLT010 系统管理员
08:22:37.632 @PLT012 5
08:22:37.636 @PLT001 20171206001
08:22:37.637 @PLT002 
08:22:37.638 @PLT003 1746
08:22:37.639 @PLT004 59-1.002.02.002
08:22:37.640 @PLT007 2017/12/4 0:00:00
08:22:37.640 @PLT008 小后板小格板随产品
08:22:37.641 @PLT009 2018/8/6 8:22:37
08:22:37.642 @PLT010 系统管理员
08:22:37.643 @PLT012 10
08:22:37.647 @PRS001 1745
08:22:37.648 @PRS002 58-1.007.01.004
08:22:37.649 @PRS007 2017/11/27 0:00:00
08:22:37.651 @PRS001 1743
08:22:37.653 @PRS002 58-1.007.01.002
08:22:37.654 @PRS007 2017/12/4 0:00:00
08:22:37.655 @PRS001 1748
08:22:37.657 @PRS002 61-1.002.05.006
08:22:37.658 @PRS007 2017/12/4 0:00:00
08:22:37.660 @PRS001 1746
08:22:37.661 @PRS002 58-1.007.02.001
08:22:37.662 @PRS007 2017/12/4 0:00:00
08:22:37.664 @PLT001 20171206001
08:22:37.665 @PLT002 
08:22:37.666 @PLT003 1746
08:22:37.667 @PLT004 51-1.001.03.005
08:22:37.667 @PLT007 2017/12/4 0:00:00
08:22:37.668 @PLT008 
08:22:37.669 @PLT009 2018/8/6 8:22:37
08:22:37.670 @PLT010 系统管理员
08:22:37.671 @PLT012 60
08:22:37.676 @PRS001 1746
08:22:37.677 @PRS002 51-1.002.05.004
08:22:37.678 @PRS007 2017/12/4 0:00:00
08:22:37.680 @PLT001 20171206001
08:22:37.681 @PLT002 
08:22:37.682 @PLT003 1746
08:22:37.683 @PLT004 51-1.005.06.006
08:22:37.684 @PLT007 2017/12/4 0:00:00
08:22:37.685 @PLT008 
08:22:37.686 @PLT009 2018/8/6 8:22:37
08:22:37.687 @PLT010 系统管理员
08:22:37.688 @PLT012 20
08:22:37.692 @PLT001 20171206001
08:22:37.694 @PLT002 
08:22:37.695 @PLT003 1746
08:22:37.696 @PLT004 59-1.002.10.015
08:22:37.697 @PLT007 2017/12/4 0:00:00
08:22:37.698 @PLT008 
08:22:37.699 @PLT009 2018/8/6 8:22:37
08:22:37.700 @PLT010 系统管理员
08:22:37.702 @PLT012 20
08:22:37.706 @PRS001 1746
08:22:37.707 @PRS002 52-2.004.01.004
08:22:37.708 @PRS007 2017/12/4 0:00:00
08:22:37.710 @PRS001 1746
08:22:37.711 @PRS002 51-1.002.01.007
08:22:37.712 @PRS007 2017/12/4 0:00:00
08:22:37.714 @PRS001 1746
08:22:37.715 @PRS002 51-1.001.02.016
08:22:37.716 @PRS007 2017/12/4 0:00:00
08:22:37.718 @PLT001 20171206001
08:22:37.719 @PLT002 
08:22:37.721 @PLT003 1746
08:22:37.722 @PLT004 59-1.002.10.010
08:22:37.723 @PLT007 2017/12/4 0:00:00
08:22:37.724 @PLT008 
08:22:37.726 @PLT009 2018/8/6 8:22:37
08:22:37.727 @PLT010 系统管理员
08:22:37.728 @PLT012 30
08:22:37.732 @PRS001 1743
08:22:37.734 @PRS002 58-1.001.02.013-1
08:22:37.736 @PRS007 2017/12/4 0:00:00
08:22:37.738 @PLT001 20171206001
08:22:37.739 @PLT002 
08:22:37.740 @PLT003 1743
08:22:37.741 @PLT004 58-1.001.01.002
08:22:37.742 @PLT007 2017/12/4 0:00:00
08:22:37.743 @PLT008 
08:22:37.744 @PLT009 2018/8/6 8:22:37
08:22:37.746 @PLT010 系统管理员
08:22:37.747 @PLT012 20
08:22:37.750 @PLT001 20171206001
08:22:37.752 @PLT002 
08:22:37.753 @PLT003 1746
08:22:37.754 @PLT004 51-1.004.01.004
08:22:37.755 @PLT007 2017/12/4 0:00:00
08:22:37.756 @PLT008 前脚少做1只，3号车间养生房有配用
08:22:37.757 @PLT009 2018/8/6 8:22:37
08:22:37.758 @PLT010 系统管理员
08:22:37.758 @PLT012 100
08:22:37.762 @PLT001 20171206001
08:22:37.763 @PLT002 
08:22:37.764 @PLT003 1745
08:22:37.765 @PLT004 58-1.001.02.009-1
08:22:37.766 @PLT007 2017/12/4 0:00:00
08:22:37.767 @PLT008 
08:22:37.768 @PLT009 2018/8/6 8:22:37
08:22:37.768 @PLT010 系统管理员
08:22:37.769 @PLT012 20
08:22:37.773 @PRS001 1746
08:22:37.775 @PRS002 51-1.005.06.004
08:22:37.775 @PRS007 2017/12/4 0:00:00
08:22:37.777 @PRS001 1743
08:22:37.778 @PRS002 58-1.006.04-2.007-1
08:22:37.780 @PRS007 2017/12/4 0:00:00
08:22:37.782 @PLT001 20171206001
08:22:37.783 @PLT002 
08:22:37.784 @PLT003 1746
08:22:37.784 @PLT004 59-1.002.04.009
08:22:37.785 @PLT007 2017/12/4 0:00:00
08:22:37.786 @PLT008 
08:22:37.787 @PLT009 2018/8/6 8:22:37
08:22:37.788 @PLT010 系统管理员
08:22:37.789 @PLT012 30
08:22:37.793 @PLT001 20171206001
08:22:37.794 @PLT002 
08:22:37.795 @PLT003 1746
08:22:37.796 @PLT004 64-1.005.01.007-1
08:22:37.797 @PLT007 2017/12/4 0:00:00
08:22:37.797 @PLT008 
08:22:37.798 @PLT009 2018/8/6 8:22:37
08:22:37.799 @PLT010 系统管理员
08:22:37.800 @PLT012 5
08:22:37.804 @PRS001 1746
08:22:37.805 @PRS002 51-1.003.01.004
08:22:37.806 @PRS007 2017/12/4 0:00:00
08:22:37.808 @PLT001 20171206001
08:22:37.809 @PLT002 
08:22:37.810 @PLT003 1746
08:22:37.811 @PLT004 51-1.005.06.002
08:22:37.812 @PLT007 2017/12/4 0:00:00
08:22:37.813 @PLT008 
08:22:37.813 @PLT009 2018/8/6 8:22:37
08:22:37.814 @PLT010 系统管理员
08:22:37.815 @PLT012 40
08:22:37.819 @PLT001 20171206001
08:22:37.820 @PLT002 20171130001
08:22:37.821 @PLT003 1746
08:22:37.822 @PLT004 61-1.003.03.011-1
08:22:37.823 @PLT007 2017/11/27 0:00:00
08:22:37.824 @PLT008 
08:22:37.825 @PLT009 2018/8/6 8:22:37
08:22:37.826 @PLT010 系统管理员
08:22:37.827 @PLT012 15
08:22:37.830 @PRS001 1746
08:22:37.832 @PRS002 58-1.002.08.002
08:22:37.833 @PRS007 2017/12/4 0:00:00
08:22:37.835 @PLT001 20171206001
08:22:37.836 @PLT002 
08:22:37.837 @PLT003 1746
08:22:37.838 @PLT004 59-1.002.06.003
08:22:37.839 @PLT007 2017/12/4 0:00:00
08:22:37.840 @PLT008 
08:22:37.841 @PLT009 2018/8/6 8:22:37
08:22:37.842 @PLT010 系统管理员
08:22:37.843 @PLT012 5
08:22:37.846 @PLT001 20171206001
08:22:37.847 @PLT002 
08:22:37.848 @PLT003 1743
08:22:37.849 @PLT004 58-1.006.04-2.006
08:22:37.850 @PLT007 2017/12/4 0:00:00
08:22:37.851 @PLT008 
08:22:37.852 @PLT009 2018/8/6 8:22:37
08:22:37.853 @PLT010 系统管理员
08:22:37.854 @PLT012 10
08:22:37.858 @PLT001 20171206001
08:22:37.859 @PLT002 
08:22:37.860 @PLT003 1746
08:22:37.861 @PLT004 58-1.007.03.002
08:22:37.862 @PLT007 2017/12/4 0:00:00
08:22:37.863 @PLT008 
08:22:37.864 @PLT009 2018/8/6 8:22:37
08:22:37.865 @PLT010 系统管理员
08:22:37.866 @PLT012 15
08:22:37.870 @PLT001 20171206001
08:22:37.872 @PLT002 
08:22:37.873 @PLT003 1746
08:22:37.873 @PLT004 51-1.006.03.002-1
08:22:37.874 @PLT007 2017/12/4 0:00:00
08:22:37.875 @PLT008 
08:22:37.876 @PLT009 2018/8/6 8:22:37
08:22:37.877 @PLT010 系统管理员
08:22:37.878 @PLT012 30
08:22:37.881 @PLT001 20171206001
08:22:37.883 @PLT002 
08:22:37.884 @PLT003 1743
08:22:37.884 @PLT004 58-1.006.04-2.007-1
08:22:37.885 @PLT007 2017/12/4 0:00:00
08:22:37.886 @PLT008 
08:22:37.887 @PLT009 2018/8/6 8:22:37
08:22:37.888 @PLT010 系统管理员
08:22:37.889 @PLT012 10
08:22:37.892 @PRS001 1745
08:22:37.894 @PRS002 51-1.003.03.011
08:22:37.895 @PRS007 2017/11/27 0:00:00
08:22:37.897 @PLT001 20171206001
08:22:37.898 @PLT002 20171130001
08:22:37.899 @PLT003 1745
08:22:37.900 @PLT004 58-1.007.01.004
08:22:37.901 @PLT007 2017/11/27 0:00:00
08:22:37.902 @PLT008 
08:22:37.903 @PLT009 2018/8/6 8:22:37
08:22:37.904 @PLT010 系统管理员
08:22:37.905 @PLT012 10
08:22:37.908 @PRS001 1746
08:22:37.909 @PRS002 58-1.002.02.009
08:22:37.910 @PRS007 2017/12/4 0:00:00
08:22:37.912 @PRS001 1746
08:22:37.914 @PRS002 61-1.001.02.021
08:22:37.914 @PRS007 2017/11/27 0:00:00
08:22:37.916 @PLT001 20171206001
08:22:37.917 @PLT002 
08:22:37.918 @PLT003 1746
08:22:37.919 @PLT004 59-1.002.04.006
08:22:37.920 @PLT007 2017/12/4 0:00:00
08:22:37.921 @PLT008 
08:22:37.922 @PLT009 2018/8/6 8:22:37
08:22:37.923 @PLT010 系统管理员
08:22:37.924 @PLT012 20
08:22:37.927 @PRS001 1746
08:22:37.929 @PRS002 51-1.003.03.006
08:22:37.930 @PRS007 2017/12/4 0:00:00
08:22:37.931 @PLT001 20171206001
08:22:37.933 @PLT002 
08:22:37.934 @PLT003 1746
08:22:37.935 @PLT004 64-1.003.02.003
08:22:37.936 @PLT007 2017/12/4 0:00:00
08:22:37.937 @PLT008 
08:22:37.938 @PLT009 2018/8/6 8:22:37
08:22:37.939 @PLT010 系统管理员
08:22:37.940 @PLT012 4
08:22:37.945 @PRS001 1746
08:22:37.946 @PRS002 64-1.002.10.008
08:22:37.947 @PRS007 2017/12/4 0:00:00
08:22:37.950 @PLT001 20171206001
08:22:37.951 @PLT002 
08:22:37.952 @PLT003 1746
08:22:37.953 @PLT004 59-1.002.04.011
08:22:37.954 @PLT007 2017/12/4 0:00:00
08:22:37.955 @PLT008 
08:22:37.956 @PLT009 2018/8/6 8:22:37
08:22:37.957 @PLT010 系统管理员
08:22:37.958 @PLT012 20
08:22:37.962 @PLT001 20171206001
08:22:37.963 @PLT002 
08:22:37.964 @PLT003 1746
08:22:37.965 @PLT004 64-1.002.10.008
08:22:37.966 @PLT007 2017/12/4 0:00:00
08:22:37.967 @PLT008 
08:22:37.968 @PLT009 2018/8/6 8:22:37
08:22:37.969 @PLT010 系统管理员
08:22:37.970 @PLT012 6
08:22:37.973 @PRS001 1746
08:22:37.975 @PRS002 51-1.002.12.001
08:22:37.976 @PRS007 2017/12/4 0:00:00
08:22:37.978 @PRS001 1745
08:22:37.979 @PRS002 58-1.001.02.009-1
08:22:37.980 @PRS007 2017/12/4 0:00:00
08:22:37.981 @PLT001 20171206001
08:22:37.983 @PLT002 
08:22:37.984 @PLT003 1746
08:22:37.984 @PLT004 59-1.003.01.003
08:22:37.985 @PLT007 2017/12/4 0:00:00
08:22:37.986 @PLT008 
08:22:37.987 @PLT009 2018/8/6 8:22:37
08:22:37.988 @PLT010 系统管理员
08:22:37.989 @PLT012 10
08:22:37.993 @PLT001 20171206001
08:22:37.994 @PLT002 
08:22:37.995 @PLT003 1746
08:22:37.996 @PLT004 59-1.003.03.012-1
08:22:37.997 @PLT007 2017/12/4 0:00:00
08:22:37.998 @PLT008 
08:22:37.999 @PLT009 2018/8/6 8:22:37
08:22:38.000 @PLT010 系统管理员
08:22:38.001 @PLT012 20
08:22:38.004 @PRS001 1743
08:22:38.006 @PRS002 58-1.001.01.002
08:22:38.006 @PRS007 2017/12/4 0:00:00
08:22:38.008 @PRS001 1746
08:22:38.009 @PRS002 51-1.008.03.003
08:22:38.010 @PRS007 2017/12/4 0:00:00
08:22:38.012 @PRS001 1746
08:22:38.013 @PRS002 51-1.006.03.002-1
08:22:38.014 @PRS007 2017/12/4 0:00:00
08:22:38.016 @PLT001 20171206001
08:22:38.017 @PLT002 20171130001
08:22:38.018 @PLT003 1745
08:22:38.019 @PLT004 51-1.003.03.010
08:22:38.020 @PLT007 2017/11/27 0:00:00
08:22:38.021 @PLT008 
08:22:38.022 @PLT009 2018/8/6 8:22:37
08:22:38.023 @PLT010 系统管理员
08:22:38.024 @PLT012 30
08:22:38.027 @PRS001 1745
08:22:38.029 @PRS002 51-1.006.02.006
08:22:38.029 @PRS007 2017/11/27 0:00:00
08:22:38.031 @PLT001 20171206001
08:22:38.033 @PLT002 
08:22:38.034 @PLT003 1743
08:22:38.035 @PLT004 58-1.001.02.013-1
08:22:38.036 @PLT007 2017/12/4 0:00:00
08:22:38.037 @PLT008 
08:22:38.038 @PLT009 2018/8/6 8:22:37
08:22:38.039 @PLT010 系统管理员
08:22:38.040 @PLT012 10
08:22:38.044 @PRS001 1746
08:22:38.045 @PRS002 51-1.001.01.002
08:22:38.046 @PRS007 2017/12/4 0:00:00
08:22:38.048 @PLT001 20171206001
08:22:38.049 @PLT002 
08:22:38.050 @PLT003 1746
08:22:38.051 @PLT004 51-1.002.01.007
08:22:38.052 @PLT007 2017/12/4 0:00:00
08:22:38.053 @PLT008 
08:22:38.054 @PLT009 2018/8/6 8:22:37
08:22:38.055 @PLT010 系统管理员
08:22:38.055 @PLT012 100
08:22:38.059 @PLT001 20171206001
08:22:38.060 @PLT002 
08:22:38.061 @PLT003 1746
08:22:38.062 @PLT004 59-1.001.02.002-1
08:22:38.063 @PLT007 2017/12/4 0:00:00
08:22:38.064 @PLT008 
08:22:38.065 @PLT009 2018/8/6 8:22:37
08:22:38.066 @PLT010 系统管理员
08:22:38.067 @PLT012 30
08:22:38.071 @PRS001 1746
08:22:38.072 @PRS002 51-1.003.03.003
08:22:38.073 @PRS007 2017/12/4 0:00:00
08:22:38.075 @PRS001 1746
08:22:38.076 @PRS002 58-1.005.01.005
08:22:38.077 @PRS007 2017/12/4 0:00:00
08:22:38.079 @PRS001 1746
08:22:38.080 @PRS002 51-1.001.02.007
08:22:38.081 @PRS007 2017/12/4 0:00:00
08:22:38.083 @PRS001 1743
08:22:38.084 @PRS002 58-1.006.04-2.009
08:22:38.085 @PRS007 2017/12/4 0:00:00
08:22:38.087 @PLT001 20171206001
08:22:38.088 @PLT002 
08:22:38.089 @PLT003 1746
08:22:38.090 @PLT004 51-1.003.03.003
08:22:38.090 @PLT007 2017/12/4 0:00:00
08:22:38.092 @PLT008 
08:22:38.093 @PLT009 2018/8/6 8:22:37
08:22:38.094 @PLT010 系统管理员
08:22:38.095 @PLT012 30
08:22:38.099 @PLT001 20171206001
08:22:38.100 @PLT002 
08:22:38.101 @PLT003 1743
08:22:38.102 @PLT004 58-1.007.01.002
08:22:38.103 @PLT007 2017/12/4 0:00:00
08:22:38.104 @PLT008 
08:22:38.105 @PLT009 2018/8/6 8:22:37
08:22:38.105 @PLT010 系统管理员
08:22:38.106 @PLT012 10
08:22:38.110 @PRS001 1746
08:22:38.111 @PRS002 51-1.005.06.002
08:22:38.112 @PRS007 2017/12/4 0:00:00
08:22:38.114 @PLT001 20171206001
08:22:38.115 @PLT002 
08:22:38.116 @PLT003 1748
08:22:38.117 @PLT004 61-1.002.05.006
08:22:38.119 @PLT007 2017/12/4 0:00:00
08:22:38.120 @PLT008 亚历克板需生产
08:22:38.121 @PLT009 2018/8/6 8:22:37
08:22:38.122 @PLT010 系统管理员
08:22:38.123 @PLT012 40
08:22:38.126 @PRS001 1746
08:22:38.128 @PRS002 51-1.004.01.005
08:22:38.129 @PRS007 2017/12/4 0:00:00
08:22:38.130 @PRS001 1746
08:22:38.131 @PRS002 51-1.002.09.010
08:22:38.133 @PRS007 2017/12/4 0:00:00
08:22:38.135 @PLT001 20171206001
08:22:38.136 @PLT002 
08:22:38.137 @PLT003 1746
08:22:38.138 @PLT004 51-1.002.12.001
08:22:38.139 @PLT007 2017/12/4 0:00:00
08:22:38.139 @PLT008 
08:22:38.140 @PLT009 2018/8/6 8:22:37
08:22:38.141 @PLT010 系统管理员
08:22:38.142 @PLT012 30
08:22:38.146 @PLT001 20171206001
08:22:38.147 @PLT002 
08:22:38.148 @PLT003 1743
08:22:38.149 @PLT004 58-1.006.04-2.002
08:22:38.150 @PLT007 2017/12/4 0:00:00
08:22:38.151 @PLT008 
08:22:38.152 @PLT009 2018/8/6 8:22:37
08:22:38.153 @PLT010 系统管理员
08:22:38.154 @PLT012 20
08:22:38.157 @PRS001 1746
08:22:38.158 @PRS002 58-1.008.01.001
08:22:38.159 @PRS007 2017/12/4 0:00:00
08:22:38.161 @PRS001 1746
08:22:38.162 @PRS002 51-1.002.09.011
08:22:38.163 @PRS007 2017/12/4 0:00:00
08:22:38.165 @PRS001 1746
08:22:38.167 @PRS002 51-1.004.01.001
08:22:38.167 @PRS007 2017/12/4 0:00:00
08:22:38.169 @PRS001 1743
08:22:38.171 @PRS002 58-1.006.04-2.006
08:22:38.172 @PRS007 2017/12/4 0:00:00
08:22:38.174 @PLT001 20171206001
08:22:38.175 @PLT002 
08:22:38.176 @PLT003 1746
08:22:38.177 @PLT004 59-1.002.04.010
08:22:38.178 @PLT007 2017/12/4 0:00:00
08:22:38.179 @PLT008 
08:22:38.180 @PLT009 2018/8/6 8:22:37
08:22:38.180 @PLT010 系统管理员
08:22:38.181 @PLT012 5
08:22:38.185 @PLT001 20171206001
08:22:38.186 @PLT002 
08:22:38.187 @PLT003 1746
08:22:38.188 @PLT004 51-1.002.02.006
08:22:38.189 @PLT007 2017/12/4 0:00:00
08:22:38.190 @PLT008 大后板有配用，大格板随产品
08:22:38.191 @PLT009 2018/8/6 8:22:37
08:22:38.192 @PLT010 系统管理员
08:22:38.193 @PLT012 20
08:22:38.196 @PLT001 20171206001
08:22:38.198 @PLT002 
08:22:38.199 @PLT003 1746
08:22:38.200 @PLT004 59-1.003.03.002
08:22:38.201 @PLT007 2017/12/4 0:00:00
08:22:38.202 @PLT008 
08:22:38.203 @PLT009 2018/8/6 8:22:37
08:22:38.204 @PLT010 系统管理员
08:22:38.205 @PLT012 10
08:22:38.208 @PLT001 20171206001
08:22:38.209 @PLT002 
08:22:38.210 @PLT003 1746
08:22:38.211 @PLT004 58-1.005.01.005
08:22:38.212 @PLT007 2017/12/4 0:00:00
08:22:38.213 @PLT008 
08:22:38.214 @PLT009 2018/8/6 8:22:37
08:22:38.215 @PLT010 系统管理员
08:22:38.216 @PLT012 2
08:22:38.220 @PRS001 1746
08:22:38.221 @PRS002 51-1.003.03.005
08:22:38.222 @PRS007 2017/12/4 0:00:00
08:22:38.224 @PLT001 20171206001
08:22:38.225 @PLT002 
08:22:38.227 @PLT003 1746
08:22:38.228 @PLT004 58-1.007.02.001
08:22:38.229 @PLT007 2017/12/4 0:00:00
08:22:38.230 @PLT008 
08:22:38.231 @PLT009 2018/8/6 8:22:37
08:22:38.232 @PLT010 系统管理员
08:22:38.233 @PLT012 20
08:22:38.236 @PLT001 20171206001
08:22:38.238 @PLT002 
08:22:38.239 @PLT003 1746
08:22:38.240 @PLT004 58-1.002.08.002
08:22:38.240 @PLT007 2017/12/4 0:00:00
08:22:38.241 @PLT008 
08:22:38.242 @PLT009 2018/8/6 8:22:37
08:22:38.243 @PLT010 系统管理员
08:22:38.244 @PLT012 15
08:22:38.248 @PRS001 1746
08:22:38.249 @PRS002 51-1.001.02.002
08:22:38.250 @PRS007 2017/12/4 0:00:00
08:22:38.252 @PRS001 1746
08:22:38.253 @PRS002 61-1.003.03.011-1
08:22:38.254 @PRS007 2017/11/27 0:00:00
08:22:38.256 @PRS001 1746
08:22:38.257 @PRS002 51-1.002.01.006
08:22:38.258 @PRS007 2017/12/4 0:00:00
08:22:38.260 @PRS001 1746
08:22:38.261 @PRS002 51-1.002.09.009
08:22:38.262 @PRS007 2017/12/4 0:00:00
08:22:38.264 @PLT001 20171206001
08:22:38.265 @PLT002 
08:22:38.266 @PLT003 1746
08:22:38.267 @PLT004 51-1.001.02.010
08:22:38.268 @PLT007 2017/12/4 0:00:00
08:22:38.269 @PLT008 
08:22:38.270 @PLT009 2018/8/6 8:22:37
08:22:38.271 @PLT010 系统管理员
08:22:38.272 @PLT012 40
08:22:38.276 @PLT001 20171206001
08:22:38.277 @PLT002 
08:22:38.278 @PLT003 1746
08:22:38.279 @PLT004 51-1.002.09.011
08:22:38.280 @PLT007 2017/12/4 0:00:00
08:22:38.281 @PLT008 
08:22:38.282 @PLT009 2018/8/6 8:22:37
08:22:38.283 @PLT010 系统管理员
08:22:38.284 @PLT012 15
08:22:38.288 @PLT001 20171206001
08:22:38.289 @PLT002 
08:22:38.290 @PLT003 1746
08:22:38.291 @PLT004 51-1.002.05.004
08:22:38.292 @PLT007 2017/12/4 0:00:00
08:22:38.293 @PLT008 
08:22:38.294 @PLT009 2018/8/6 8:22:37
08:22:38.295 @PLT010 系统管理员
08:22:38.296 @PLT012 20
08:22:38.299 @PRS001 1748
08:22:38.300 @PRS002 56-1.002.05.002
08:22:38.301 @PRS007 2017/12/4 0:00:00
08:22:38.304 @PRS001 1746
08:22:38.305 @PRS002 51-1.001.03.010
08:22:38.306 @PRS007 2017/12/4 0:00:00
08:22:38.307 @PLT001 20171206001
08:22:38.309 @PLT002 
08:22:38.309 @PLT003 1746
08:22:38.310 @PLT004 58-1.002.02.007
08:22:38.311 @PLT007 2017/12/4 0:00:00
08:22:38.312 @PLT008 
08:22:38.313 @PLT009 2018/8/6 8:22:37
08:22:38.314 @PLT010 系统管理员
08:22:38.315 @PLT012 10
08:22:38.319 @PRS001 1743
08:22:38.320 @PRS002 58-1.006.04-2.002
08:22:38.321 @PRS007 2017/12/4 0:00:00
08:22:38.323 @PLT001 20171206001
08:22:38.324 @PLT002 
08:22:38.325 @PLT003 1746
08:22:38.326 @PLT004 51-1.001.01.002
08:22:38.327 @PLT007 2017/12/4 0:00:00
08:22:38.328 @PLT008 
08:22:38.329 @PLT009 2018/8/6 8:22:37
08:22:38.330 @PLT010 系统管理员
08:22:38.331 @PLT012 15
08:22:38.335 @PLT001 20171206001
08:22:38.336 @PLT002 20171130001
08:22:38.337 @PLT003 1745
08:22:38.338 @PLT004 51-1.006.02.006
08:22:38.339 @PLT007 2017/11/27 0:00:00
08:22:38.340 @PLT008 
08:22:38.341 @PLT009 2018/8/6 8:22:37
08:22:38.342 @PLT010 系统管理员
08:22:38.342 @PLT012 50
08:22:38.346 @PLT001 20171206001
08:22:38.347 @PLT002 
08:22:38.348 @PLT003 1746
08:22:38.349 @PLT004 59-1.002.04.008
08:22:38.350 @PLT007 2017/12/4 0:00:00
08:22:38.351 @PLT008 
08:22:38.352 @PLT009 2018/8/6 8:22:37
08:22:38.353 @PLT010 系统管理员
08:22:38.354 @PLT012 10
08:22:38.358 @PRS001 1746
08:22:38.359 @PRS002 52-2.003.03.002
08:22:38.360 @PRS007 2017/12/4 0:00:00
08:22:38.362 @PLT001 20171206001
08:22:38.363 @PLT002 
08:22:38.364 @PLT003 1746
08:22:38.365 @PLT004 51-1.003.03.006
08:22:38.366 @PLT007 2017/12/4 0:00:00
08:22:38.366 @PLT008 
08:22:38.367 @PLT009 2018/8/6 8:22:37
08:22:38.368 @PLT010 系统管理员
08:22:38.369 @PLT012 60
08:22:38.373 @PRS001 1745
08:22:38.374 @PRS002 51-1.001.02.013
08:22:38.375 @PRS007 2017/11/27 0:00:00
08:22:38.377 @PLT001 20171206001
08:22:38.378 @PLT002 
08:22:38.379 @PLT003 1746
08:22:38.380 @PLT004 51-1.002.09.010
08:22:38.382 @PLT007 2017/12/4 0:00:00
08:22:38.382 @PLT008 
08:22:38.383 @PLT009 2018/8/6 8:22:37
08:22:38.384 @PLT010 系统管理员
08:22:38.385 @PLT012 20
08:22:38.389 @PLT001 20171206001
08:22:38.390 @PLT002 
08:22:38.391 @PLT003 1746
08:22:38.392 @PLT004 59-1.005.02.002
08:22:38.393 @PLT007 2017/12/4 0:00:00
08:22:38.394 @PLT008 
08:22:38.395 @PLT009 2018/8/6 8:22:37
08:22:38.396 @PLT010 系统管理员
08:22:38.396 @PLT012 20
08:22:38.400 @PRS001 1746
08:22:38.401 @PRS002 51-1.001.02.010
08:22:38.402 @PRS007 2017/12/4 0:00:00
08:22:38.405 @PRS001 1743
08:22:38.406 @PRS002 58-1.006.04-2.005
08:22:38.407 @PRS007 2017/12/4 0:00:00
08:22:38.409 @PLT001 20171206001
08:22:38.410 @PLT002 
08:22:38.411 @PLT003 1746
08:22:38.412 @PLT004 51-1.003.03.005
08:22:38.413 @PLT007 2017/12/4 0:00:00
08:22:38.414 @PLT008 
08:22:38.415 @PLT009 2018/8/6 8:22:37
08:22:38.416 @PLT010 系统管理员
08:22:38.417 @PLT012 60
08:22:38.420 @PLT001 20171206001
08:22:38.422 @PLT002 
08:22:38.423 @PLT003 1746
08:22:38.424 @PLT004 51-1.001.02.011
08:22:38.424 @PLT007 2017/12/4 0:00:00
08:22:38.425 @PLT008 
08:22:38.426 @PLT009 2018/8/6 8:22:37
08:22:38.427 @PLT010 系统管理员
08:22:38.428 @PLT012 40
08:22:38.432 @PLT001 20171206001
08:22:38.433 @PLT002 
08:22:38.434 @PLT003 1746
08:22:38.435 @PLT004 59-1.003.03.010
08:22:38.436 @PLT007 2017/12/4 0:00:00
08:22:38.437 @PLT008 
08:22:38.438 @PLT009 2018/8/6 8:22:37
08:22:38.439 @PLT010 系统管理员
08:22:38.440 @PLT012 15
08:22:38.445 @PLT001 20171206001
08:22:38.446 @PLT002 
08:22:38.447 @PLT003 1746
08:22:38.448 @PLT004 59-1.002.02.008
08:22:38.449 @PLT007 2017/12/4 0:00:00
08:22:38.449 @PLT008 小后板小格板随产品
08:22:38.450 @PLT009 2018/8/6 8:22:37
08:22:38.451 @PLT010 系统管理员
08:22:38.452 @PLT012 20
08:22:38.456 @PLT001 20171206001
08:22:38.458 @PLT002 
08:22:38.459 @PLT003 1746
08:22:38.460 @PLT004 51-1.001.03.010
08:22:38.461 @PLT007 2017/12/4 0:00:00
08:22:38.462 @PLT008 
08:22:38.463 @PLT009 2018/8/6 8:22:37
08:22:38.464 @PLT010 系统管理员
08:22:38.465 @PLT012 40
08:22:38.468 @PLT001 20171206001
08:22:38.469 @PLT002 
08:22:38.470 @PLT003 1743
08:22:38.472 @PLT004 58-1.006.04-2.009
08:22:38.473 @PLT007 2017/12/4 0:00:00
08:22:38.474 @PLT008 
08:22:38.475 @PLT009 2018/8/6 8:22:37
08:22:38.476 @PLT010 系统管理员
08:22:38.477 @PLT012 10
08:22:38.480 @PLT001 20171206001
08:22:38.481 @PLT002 
08:22:38.482 @PLT003 1746
08:22:38.484 @PLT004 51-1.002.09.009
08:22:38.484 @PLT007 2017/12/4 0:00:00
08:22:38.485 @PLT008 
08:22:38.486 @PLT009 2018/8/6 8:22:37
08:22:38.487 @PLT010 系统管理员
08:22:38.488 @PLT012 30
08:22:38.492 @PLT001 20171206001
08:22:38.493 @PLT002 
08:22:38.494 @PLT003 1748
08:22:38.495 @PLT004 56-1.002.05.002
08:22:38.496 @PLT007 2017/12/4 0:00:00
08:22:38.497 @PLT008 加急生产
08:22:38.498 @PLT009 2018/8/6 8:22:37
08:22:38.499 @PLT010 系统管理员
08:22:38.499 @PLT012 1
08:22:38.504 @PRS001 1745
08:22:38.505 @PRS002 51-1.003.03.010
08:22:38.506 @PRS007 2017/11/27 0:00:00
08:22:38.508 @PLT001 20171206001
08:22:38.509 @PLT002 
08:22:38.510 @PLT003 1746
08:22:38.511 @PLT004 59-1.001.01.001
08:22:38.512 @PLT007 2017/12/4 0:00:00
08:22:38.513 @PLT008 床铺板外购
08:22:38.514 @PLT009 2018/8/6 8:22:37
08:22:38.515 @PLT010 系统管理员
08:22:38.516 @PLT012 20
